setid,number,variant,theme,subtheme,year,name,pieces,price,image_url,owned_by,wanted_by,num_reviews,prod_desc,review_difficulty,set_name,star_rating
26772,10744,1,Juniors,Cars 3,2017,Thunder Hollow Crazy 8 Race,191.0,34.99,https://images.brickset.com/sets/images/10744-1.jpg,899,216,2.0,Roll up for a demolition derby at the Disney•Pixar Thunder Hollow Crazy 8 Race!,Average,Thunder Hollow Crazy 8 Race,5.0
26751,41188,1,Elves,Not Available,2017,Breakout from the Goblin King's Fortress,695.0,69.99,https://images.brickset.com/sets/images/41188-1.jpg,1094,459,1.0,Stop the Goblin King’s evil plan and rescue Emily Jones’ sister!,Not Available,Breakout from the Goblin King's Fortress,5.0
26753,41145,1,Disney,The Little Mermaid,2017,Ariel and the Magical Spell,222.0,29.99,https://images.brickset.com/sets/images/41145-1.jpg,1183,449,2.0,Explore the secrets of the sea with Ariel and Flounder.,Average,Ariel and the Magical Spell,5.0
26754,41146,1,Disney,Cinderella,2017,Cinderella's Enchanted Evening,350.0,39.99,https://images.brickset.com/sets/images/41146-1.jpg,1015,516,4.0,Drive off in Cinderella’s beautiful horse-drawn carriage!,Average,Cinderella's Enchanted Evening,4.8
26755,41315,1,Friends,Summer,2017,Heartlake Surf Shop,186.0,19.99,https://images.brickset.com/sets/images/41315-1.jpg,1429,369,4.0,Get ready for a day of watersports action at the Surf Shop!,Easy,Heartlake Surf Shop,4.5
26756,41316,1,Friends,Summer,2017,Andrea's Speedboat Transporter,309.0,29.99,https://images.brickset.com/sets/images/41316-1.jpg,914,348,1.0,Cruise in style to the hottest beach party in town!,Easy,Andrea's Speedboat Transporter,5.0
26757,41317,1,Friends,Summer,2017,Sunshine Catamaran,603.0,69.99,https://images.brickset.com/sets/images/41317-1.jpg,1460,505,2.0,Jump aboard the luxury Sunshine Catamaran with friends!,Challenging,Sunshine Catamaran,4.5
27168,41319,1,Friends,Snow Resort,2017,Snow Resort Hot Chocolate Van,246.0,24.99,https://images.brickset.com/sets/images/41319-1.jpg,1086,464,3.0,Keep warm with delicious hot chocolate from the van!,Easy,Snow Resort Hot Chocolate Van,4.0
27049,21137,1,Minecraft,Minifig-scale,2017,The Mountain Cave,2863.0,249.99,https://images.brickset.com/sets/images/21137-1.jpg,611,1013,11.0,Experience the Mountain Cave!,Challenging,The Mountain Cave,4.5
27278,70628,1,The LEGO Ninjago Movie,Miscellaneous,2017,Lloyd - Spinjitzu Master,48.0,9.99,https://images.brickset.com/sets/images/70628-1.jpg,877,209,1.0,Achieve Spinjitzu greatness with the Green Ninja!,Very Easy,Lloyd - Spinjitzu Master,5.0
