prod_id,num_reviews,piece_count,prod_desc,review_difficulty,difficulty,set_name,star_rating,theme_name,Image,Year,Price
70631,7,521,Get all fired up at Garmadon’s Volcano Lair!,Average,3,Robo Explorer,4.8,Creator 3-in-1,https://images.brickset.com/sets/images/31062-1.jpg,2017,19.99
70612,29,544,Take on Garmadon with the Green Ninja Mech Dragon!,Average,3,Daredevil Stunt Plane,5,Creator 3-in-1,https://images.brickset.com/sets/images/31076-1.jpg,2018,19.99
70639,3,308,Stage a high-speed bike showdown!,Average,3,Outback Adventures,4,Creator 3-in-1,https://images.brickset.com/sets/images/31075-1.jpg,2018,19.99
70611,21,494,Smash the shark army out of the water with the Water Strider!,Average,3,Mighty Dinosaurs,4.7,Creator 3-in-1,https://images.brickset.com/sets/images/31058-1.jpg,2017,14.99
70610,7,341,Take on the tentacular Flying Jelly Sub with Jay!,Average,3,Mythical Creatures,4.4,Creator 3-in-1,https://images.brickset.com/sets/images/31073-1.jpg,2018,14.99
70638,3,257,Pursue Luke Cunningham with Kai’s Katana V11!,Average,3,Green Cruiser,4.5,Creator 3-in-1,https://images.brickset.com/sets/images/31056-1.jpg,2017,9.99
70605,8,754,Launch a surprise attack on the sky pirates’ awesome HQ!,Average,3,Drone Explorer,5,Creator 3-in-1,https://images.brickset.com/sets/images/31071-1.jpg,2018,9.99
70592,6,439,Match the Salvage M.E.C. vs. the Skulkin mech in a bounty-hunting duel!,Average,3,Fast Car,4.6,Creator 3-in-1,https://images.brickset.com/sets/images/31046-1.jpg,2016,19.99
70624,5,313,Watch out for the mighty egg-launching Vermillion Invader!,Average,3,Lighthouse Point,4.7,Creator 3-in-1,https://images.brickset.com/sets/images/31051-1.jpg,2016,59.99
70623,7,360,Glide across and above the swamp with Destiny's Shadow!,Average,3,Island Adventures,4.5,Creator 3-in-1,https://images.brickset.com/sets/images/31064-1.jpg,2017,34.99
70603,8,294,Fly high with Zane to battle Doubloon’s mighty Raid Zeppelin!,Average,3,Beach Hut,4.4,Creator 3-in-1,https://images.brickset.com/sets/images/31035-1.jpg,2015,29.99
75889,2,841,"Build, display and race iconic Ferrari race cars!",Average,3,Beachside Vacation,4.2,Creator 3-in-1,https://images.brickset.com/sets/images/31063-1.jpg,2017,29.99
75888,4,391,Stage a historic Porsche race!,Average,3,Propeller Plane,4.9,Creator 3-in-1,https://images.brickset.com/sets/images/31047-1.jpg,2016,19.99
75885,13,203,Drive the Fiesta M-Sport WRC to victory!,Average,3,Chopper Transporter,5,Creator 3-in-1,https://images.brickset.com/sets/images/31043-1.jpg,2016,9.99
75883,8,941,Play every role of a top motor racing team on race day!,Average,3,Cargo Heli,4.8,Creator 3-in-1,https://images.brickset.com/sets/images/31029-1.jpg,2015,9.99
75212,4,1413,Jump to lightspeed in the Millennium Falcon!,Average,3,Downtown Diner,4.6,Creator Expert,https://images.brickset.com/sets/images/10260-1.jpg,2018,169.99
75211,7,519,Evade the mighty Imperial TIE Fighter!,Average,3,Winter Village Station,3.8,Creator Expert,https://images.brickset.com/sets/images/10259-1.jpg,2017,79.99
75190,31,1416,Command the fleet with the awesome First Order Star Destroyer!,Average,3,Assembly Square,4.8,Creator Expert,https://images.brickset.com/sets/images/10255-1.jpg,2017,279.99
75188,23,780,Set out on heroic raids with the Resistance Bomber!,Average,3,Big Ben,4.6,Creator Expert,https://images.brickset.com/sets/images/10253-1.jpg,2016,249.99
75187,79,1106,Play with and display your own brick-built BB-8!,Average,3,Tower Bridge,4.8,Creator Expert,https://images.brickset.com/sets/images/10214-1.jpg,2010,239.99
75156,39,863,Transport Director Krennic in his armor-plated shuttle!,Average,3,Carousel,4.4,Creator Expert,https://images.brickset.com/sets/images/10257-1.jpg,2017,199.99
75179,22,630,Speed into action with Kylo Ren’s TIE Fighter!,Average,3,Ferris Wheel,4.9,Creator Expert,https://images.brickset.com/sets/images/10247-1.jpg,2015,199.99
75102,71,717,Go on daring missions with Poe's X-Wing Fighter™!,Average,3,Brick Bank,4.7,Creator Expert,https://images.brickset.com/sets/images/10251-1.jpg,2016,169.99
75155,56,659,Battle the Empire with the amazing Rebel U-Wing Fighter!,Average,3,Parisian Restaurant,4.9,Creator Expert,https://images.brickset.com/sets/images/10243-1.jpg,2014,159.99
75180,3,836,Escape from Bala-Tik and the dreaded Rathtars!,Average,3,Detective’s Office,4.6,Creator Expert,https://images.brickset.com/sets/images/10246-1.jpg,2015,159.99
75172,51,691,Launch daring raids with the iconic Y-Wing Starfighter!,Average,3,London Bus,4.6,Creator Expert,https://images.brickset.com/sets/images/10258-1.jpg,2017,139.99
75191,15,825,Play at warp speed with Obi-Wan’s Jedi Starfighter With Hyperdrive!,Average,3,Volkswagen T1 Camper Van,4.7,Creator Expert,https://images.brickset.com/sets/images/10220-1.jpg,2011,119.99
75534,6,168,Join Darth Vader and battle to victory!,Average,3,Volkswagen Beetle,4.9,Creator Expert,https://images.brickset.com/sets/images/10252-1.jpg,2016,99.99
75533,4,144,Join the hunt with Boba Fett!,Average,3,MINI Cooper,4.7,Creator Expert,https://images.brickset.com/sets/images/10242-1.jpg,2014,99.99
75119,3,104,Blast into battle with Rebel soldier Jyn Erso!,Average,3,Winter Holiday Train,4.3,Creator Expert,https://images.brickset.com/sets/images/10254-1.jpg,2016,99.99
75095,94,1685,Presenting the Ultimate Collector Series TIE Fighter – the iconic Imperial starfighter!,Average,3,The Joker™ Manor,5,THE LEGO® BATMAN MOVIE,https://images.brickset.com/sets/images/70922-1.jpg,2017,269.99
75104,67,1005,Enter the battle with Kylo Ren’s Command Shuttle™!,Average,3,Flying Fox: Batmobile Airlift Attack,3.7,DC Comics™ Super Heroes,https://images.brickset.com/sets/images/76087-1.jpg,2017,129.99
75154,39,543,Join the battle against the rebels!,Average,3,LEGO® DIMENSIONS™ PLAYSTATION® 4 Starter Pack,4.3,DIMENSIONS™,https://images.brickset.com/sets/images/71171-1.jpg,2015,99.99
75148,24,530,Stop the thief at Unkar Plutt's market stall!,Average,3,The Bat-Space Shuttle,4.8,THE LEGO® BATMAN MOVIE,https://images.brickset.com/sets/images/70923-1.jpg,2018,79.99
75111,25,160,Feel the power of the dark side with posable Darth Vader™!,Average,3,Harley Quinn™ Cannonball Attack,3.2,THE LEGO® BATMAN MOVIE,https://images.brickset.com/sets/images/70921-1.jpg,2018,49.99
42078,22,2595,Discover innovative design with the Mack Anthem truck and trailer!,Average,3,Lex Luthor™ Mech Takedown,4.8,DC Comics™ Super Heroes,https://images.brickset.com/sets/images/76097-1.jpg,2018,39.99
42069,19,2382,Traverse uncharted territory with the Extreme Adventure!,Average,3,Speed Force Freeze Pursuit,4.8,DC Comics™ Super Heroes,https://images.brickset.com/sets/images/76098-1.jpg,2018,29.99
42077,8,1005,Push the limits with the awesome LEGO® Technic Rally Car!,Average,3,The Justice League™ Anniversary Party,3.2,THE LEGO® BATMAN MOVIE,https://images.brickset.com/sets/images/70919-1.jpg,2018,29.99
42068,12,1098,Mobilize the Airport Rescue Vehicle!,Average,3,Egghead™ Mech Food Fight,4.7,THE LEGO® BATMAN MOVIE,https://images.brickset.com/sets/images/70920-1.jpg,2018,29.99
42076,5,1020,Transport supplies over land and sea with the all-terrain Hovercraft!,Average,3,The Bat-Dune Buggy,4.5,THE LEGO® BATMAN MOVIE,https://images.brickset.com/sets/images/70918-1.jpg,2018,19.99
42063,12,603,Experience the BMW R 1200 GS Adventure!,Average,3,Battle of Atlantis,4.2,DC Comics™ Super Heroes,https://images.brickset.com/sets/images/76085-1.jpg,2017,19.99
42074,5,330,Put the wind in your sails with this amazing Racing Yacht!,Average,3,Superman™ & Krypto™ Team-Up,5,DC Comics™ Super Heroes,https://images.brickset.com/sets/images/76096-1.jpg,2018,19.99
42053,18,1166,Operate the powerful Volvo EW160E!,Average,3,Wonder Woman™,5,BrickHeadz,https://images.brickset.com/sets/images/41599-1.jpg,2018,9.99
