num_reviews,piece_count,prod_desc,prod_id,review_difficulty,set_name,star_rating,theme_name
11.0,91,Celebrate THE LEGO® BATMAN MOVIE with a LEGO BrickHeadz Batman!,41585,Very Easy,Batman™,4.9,BrickHeadz
8.0,96,Stand your ground with your own LEGO® BrickHeadz Iron Man!,41590,Easy,Iron Man,4.9,BrickHeadz
9.0,109,Treasure your own LEGO® BrickHeadz construction character featuring Disney’s Captain Jack Sparrow!,41593,Easy,Captain Jack Sparrow,4.8,BrickHeadz
8.0,93,Have a smashing time with LEGO® BrickHeadz The Hulk!,41592,Easy,The Hulk,4.6,BrickHeadz
10.0,139,Add some Disney fairytale romance with a LEGO® BrickHeadz construction character featuring Belle!,41595,Easy,Belle,4.8,BrickHeadz
2.0,116,Bring a classic Disney tale to life with a LEGO® BrickHeadz construction character featuring Beast!,41596,Average,Beast,5.0,BrickHeadz
12.0,151,Show off the evil trickster with LEGO® BrickHeadz The Joker™!,41588,Easy,The Joker™,4.8,BrickHeadz
4.0,143,Recruit your own elite agent with LEGO® BrickHeadz Black Widow!,41591,Easy,Black Widow,4.8,BrickHeadz
10.0,101,Showcase the Boy Wonder with LEGO® BrickHeadz Robin™!,41587,Very Easy,Robin™,4.8,BrickHeadz
9.0,99,Channel Batgirl™ with your own LEGO® BrickHeadz version!,41586,Easy,Batgirl™,4.3,BrickHeadz
35.0,888,Move heavy goods across LEGO® City with the Cargo Train!,60052,Average,Cargo Train,4.4,City
45.0,610,Get around LEGO® City fast in the High-speed Passenger Train!,60051,Average,High-speed Passenger Train,4.4,City
1.0,1250,Haul in fresh supplies at the exploration site!,60162,Average,Jungle Air Drop Helicopter,5.0,City
3.0,792,Sail the high seas and make a thrilling rescue!,60167,Average,Coast Guard Head Quarters,3.7,City
6.0,813,Discover the secrets of the jungle with the LEGO® City explorers!,60161,Average,Jungle Exploration Site,4.3,City
10.0,894,Throw the crooks back in jail after they break out!,60141,Easy,Police Station,4.7,City
1.0,883,Head to the LEGO® City mine and dig up some gold!,60188,Not Available,Mining Experts Site,5.0,City
16.0,919,Jump into action and save the hot dog stand… and lunch!,60110,Average,Fire Station,4.6,City
8.0,663,Stop the crooks from breaking their partner out of jail!,60174,Average,Mountain Police Headquarters,4.6,City
4.0,740,Load up the truck and deliver the goods!,60169,Average,Cargo Terminal,5.0,City
9.0,561,Protect the bank and stop the crooks!,60140,Easy,Bulldozer Break-in,3.3,City
3.0,426,Watch your step while you explore new things in the jungle!,60160,Average,Jungle Mobile Lab,5.0,City
2.0,303,Fly in and surprise the crooks at their hideout!,60173,Average,Mountain Arrest,4.0,City
8.0,415,Perform a daring helicopter rescue before the shark gets too close!,60166,Challenging,Heavy-duty Rescue Helicopter,4.4,City
10.0,374,Stop the crooks before they escape from the mobile jail!,60139,Easy,Mobile Command Center,4.0,City
16.0,337,"Hop on, there’s so much to see with the LEGO® City bus!",60154,Easy,Bus Station,3.3,City
1.0,294,Drive in the heavy driller and start digging the cave!,60186,Average,Mining Heavy Driller,5.0,City
