SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,USPrice,ImageURL,OwnedBy,WantedBy,Rating
29478,70431,1,Hidden Side,,2020,The Lighthouse of Darkness,,540,49.99,https://images.brickset.com/sets/images/70431-1.jpg,220,1260,
29479,70432,1,Hidden Side,,2020,Haunted Fairground,,466,49.99,https://images.brickset.com/sets/images/70432-1.jpg,189,936,
29484,21156,1,Minecraft,Bigfigs,2020,BigFig Creeper and Ocelot,,184,14.99,https://images.brickset.com/sets/images/21156-1.jpg,97,329,
29485,21157,1,Minecraft,Bigfigs,2020,BigFig Pig with Baby Zombie,,159,14.99,https://images.brickset.com/sets/images/21157-1.jpg,72,267,
29486,21158,1,Minecraft,Minifig-scale,2020,The Panda Nursery,,204,19.99,https://images.brickset.com/sets/images/21158-1.jpg,92,345,
29487,21159,1,Minecraft,Minifig-scale,2020,The Pillager Outpost,,303,29.99,https://images.brickset.com/sets/images/21159-1.jpg,47,285,
29425,71699,1,Ninjago,Legacy,2020,Thunder Raider,1,576,49.99,https://images.brickset.com/sets/images/71699-1.jpg,63,461,
29426,71700,1,Ninjago,Legacy,2020,Jungle Raider,,127,9.99,https://images.brickset.com/sets/images/71700-1.jpg,104,285,
29427,71701,1,Ninjago,Legacy,2020,Kai's Fire Dragon,,81,19.99,https://images.brickset.com/sets/images/71701-1.jpg,41,239,
29428,71702,1,Ninjago,Legacy,2020,Golden Mech,,489,39.99,https://images.brickset.com/sets/images/71702-1.jpg,74,497,
29431,60241,1,City,Police,2020,Police Dog Unit,,67,9.99,https://images.brickset.com/sets/images/60241-1.jpg,62,223,
29432,60242,1,City,Police,2020,Police Highway Arrest,2,185,29.99,https://images.brickset.com/sets/images/60242-1.jpg,95,495,
29433,60243,1,City,Police,2020,Police Helicopter Chase,4,212,39.99,https://images.brickset.com/sets/images/60243-1.jpg,50,361,
29434,60244,1,City,Police,2020,Police Helicopter Transport,,317,49.99,https://images.brickset.com/sets/images/60244-1.jpg,38,312,
29435,60245,1,City,Police,2020,Police Monster Truck Heist,5,362,59.99,https://images.brickset.com/sets/images/60245-1.jpg,45,410,
29436,60246,1,City,Police,2020,Police Station,7,743,99.99,https://images.brickset.com/sets/images/60246-1.jpg,31,331,
29457,60270,1,City,Police,2020,Police Brick Box,4,301,39.99,https://images.brickset.com/sets/images/60270-1.jpg,32,287,
29440,60250,1,City,Traffic,2020,Mail Plane,1,74,9.99,https://images.brickset.com/sets/images/60250-1.jpg,211,913,
29441,60251,1,City,Traffic,2020,Monster Truck,1,55,9.99,https://images.brickset.com/sets/images/60251-1.jpg,157,500,
29442,60252,1,City,Construction,2020,Construction Bulldozer,,126,19.99,https://images.brickset.com/sets/images/60252-1.jpg,69,489,
29443,60253,1,City,Traffic,2020,Ice-Cream Truck,2,200,19.99,https://images.brickset.com/sets/images/60253-1.jpg,655,2030,
29444,60254,1,City,,2020,Race Boat Transporter,2,238,29.99,https://images.brickset.com/sets/images/60254-1.jpg,71,571,
29445,60255,1,City,,2020,Stunt Team,2,62,9.99,https://images.brickset.com/sets/images/60255-1.jpg,134,512,
29446,60256,1,City,Traffic,2020,Racing Cars,2,190,29.99,https://images.brickset.com/sets/images/60256-1.jpg,130,861,
29447,60257,1,City,General,2020,Service Station,4,354,49.99,https://images.brickset.com/sets/images/60257-1.jpg,142,1395,
29448,60258,1,City,General,2020,Tuning Workshop,7,897,99.99,https://images.brickset.com/sets/images/60258-1.jpg,135,1601,
29379,75270,1,Star Wars,Episode IV,2020,Obi-Wan's Hut,4,200,29.99,https://images.brickset.com/sets/images/75270-1.jpg,1109,2527,
29398,76143,1,Marvel Super Heroes,Avengers,2020,Avengers Truck Take-down,,477,39.99,https://images.brickset.com/sets/images/76143-1.jpg,145,826,
29415,71709,1,Ninjago,Prime Empire,2020,Jay and Lloyd's Velocity Racers,1,322,29.99,https://images.brickset.com/sets/images/71709-1.jpg,70,319,
29416,71710,1,Ninjago,Prime Empire,2020,Ninja Tuner Car,,419,39.99,https://images.brickset.com/sets/images/71710-1.jpg,62,303,
29417,71711,1,Ninjago,Prime Empire,2020,Jay's Cyber Dragon,,518,49.99,https://images.brickset.com/sets/images/71711-1.jpg,87,425,
29418,71712,1,Ninjago,Prime Empire,2020,Empire Temple of Madness,,810,79.99,https://images.brickset.com/sets/images/71712-1.jpg,69,444,
29419,71713,1,Ninjago,Prime Empire,2020,Empire Dragon,,286,29.99,https://images.brickset.com/sets/images/71713-1.jpg,109,449,
