setid,number,theme,subtheme,year,name,pieces,price,image_url,owned_by,wanted_by,rating
27447,75197-1,Star Wars,The Last Jedi,2018,First Order Specialists Battle Pack,108.0,14.99,https://images.brickset.com/sets/images/75197-1.jpg,6699,1390,3.6
3097,6236-1,Pirates,Islanders,1994,King Kahuka,45.0,4.0,https://images.brickset.com/sets/images/6236-1.jpg,4516,923,3.5
6429,8297-1,Technic,Not Available,2008,Off-Roader,1097.0,119.99,https://images.brickset.com/sets/images/8297-1.jpg,3321,1547,3.5
5727,8921-1,Bionicle,Barraki,2007,Pridak,47.0,9.99,https://images.brickset.com/sets/images/8921-1.jpg,1998,402,3.5
7661,7170-2,HERO Factory,Not Available,2010,Jimi Stringer,17.0,7.99,https://images.brickset.com/sets/images/7170-2.jpg,1346,405,3.5
8728,30111-1,Harry Potter,Mini Building Set,2011,The Lab,34.0,3.99,https://images.brickset.com/sets/images/30111-1.jpg,4575,1089,3.5
3071,6110-1,Aquazone,Hydronauts,1998,Solo Sub,25.0,4.0,https://images.brickset.com/sets/images/6110-1.jpg,1970,432,3.5
3011,6042-1,Castle,Crusaders,1990,Dungeon Hunters,110.0,12.75,https://images.brickset.com/sets/images/6042-1.jpg,3073,871,3.5
2941,5921-1,Adventurers,Dino Island,2000,Research Glider,57.0,6.0,https://images.brickset.com/sets/images/5921-1.jpg,1900,495,3.5
3370,6516-1,Town,Launch Command,1995,Moon Walker,34.0,3.0,https://images.brickset.com/sets/images/6516-1.jpg,4061,430,3.5
3381,6525-1,Town,Fire,1995,Blaze Commander,50.0,4.5,https://images.brickset.com/sets/images/6525-1.jpg,2295,267,3.7
3493,6639-1,Town,Racing,1995,Raven Racer,66.0,7.25,https://images.brickset.com/sets/images/6639-1.jpg,1637,245,3.7
3482,6626-2,Town,Arctic,2000,Snow Scooter,20.0,2.0,https://images.brickset.com/sets/images/6626-2.jpg,544,229,3.7
3290,6434-1,Town,City,1999,Roadside Repair,210.0,50.0,https://images.brickset.com/sets/images/6434-1.jpg,423,371,3.7
3341,6492-1,Time Cruisers,Not Available,1996,Hypno Cruiser,157.0,22.0,https://images.brickset.com/sets/images/6492-1.jpg,1006,316,3.7
3351,6502-1,Town,Racing,1987,Turbo Racer,24.0,1.92,https://images.brickset.com/sets/images/6502-1.jpg,2435,265,3.7
3278,6423-1,Town,City,2000,Mini Tow Truck,35.0,5.0,https://images.brickset.com/sets/images/6423-1.jpg,970,222,3.7
3268,6411-1,Town,Paradisa,1992,Sand Dollar Café,168.0,29.75,https://images.brickset.com/sets/images/6411-1.jpg,1800,717,3.7
3739,697-2,Books,LEGO,1997,Building Ideas Book,1.0,0.08,https://images.brickset.com/sets/images/697-2.jpg,640,149,3.7
3772,7042-1,World City,Police and Rescue,2004,Dune Patrol,36.0,4.0,https://images.brickset.com/sets/images/7042-1.jpg,1195,380,3.5
3635,6821-1,Space,Classic,1980,Shovel Buggy,28.0,2.24,https://images.brickset.com/sets/images/6821-1.jpg,3100,598,3.7
2995,6028-1,Castle,Fright Knights,1998,Treasure Cart,22.0,1.76,https://images.brickset.com/sets/images/6028-1.jpg,886,503,3.7
3076,6140-1,Aquazone,Stingrays,1998,Crab,78.0,10.0,https://images.brickset.com/sets/images/6140-1.jpg,714,360,3.7
3192,6341-1,Town,Flight,1994,Gas N' Go Flyer,106.0,13.25,https://images.brickset.com/sets/images/6341-1.jpg,2106,499,3.7
3156,6309-1,Town,Accessories,1988,Town Mini-Figures,37.0,6.0,https://images.brickset.com/sets/images/6309-1.jpg,1164,385,3.7
4102,8030-1,Technic,Universal,1982,Universal Set,141.0,11.28,https://images.brickset.com/sets/images/8030-1.jpg,1127,205,3.7
4087,8005-1,Technic,Robo Riders,2000,Ice Explorer,34.0,2.72,https://images.brickset.com/sets/images/8005-1.jpg,274,133,3.7
3879,7301-1,Space,Life On Mars,2001,Rover,28.0,3.0,https://images.brickset.com/sets/images/7301-1.jpg,701,235,3.7
3822,7159-1,Star Wars,Episode I,2000,Star Wars Bucket,292.0,25.0,https://images.brickset.com/sets/images/7159-1.jpg,1248,1542,3.7
3857,7243-1,City,Construction,2005,Construction Site,298.0,39.99,https://images.brickset.com/sets/images/7243-1.jpg,1680,1267,3.7
3833,7194-1,Star Wars,Ultimate Collector Series,2002,Yoda,1075.0,100.0,https://images.brickset.com/sets/images/7194-1.jpg,2204,2625,3.7
4290,8468-1,Racers,Drome Racers,2002,Power Crusher,92.0,8.0,https://images.brickset.com/sets/images/8468-1.jpg,535,114,3.7
4168,8244-1,Technic,Not Available,1996,Convertables,275.0,33.0,https://images.brickset.com/sets/images/8244-1.jpg,643,168,3.7
4247,8414-1,Technic,Not Available,1997,Mountain Rambler,244.0,30.0,https://images.brickset.com/sets/images/8414-1.jpg,924,247,3.7
4243,840-1,Basic,Supplementaries,1980,"Baseplate, Green",1.0,0.08,https://images.brickset.com/sets/images/840-1.jpg,153,52,3.7
4478,8836-1,Technic,Not Available,1992,Sky Ranger,273.0,29.75,https://images.brickset.com/sets/images/8836-1.jpg,1599,211,3.7
4470,8824-1,Technic,Not Available,1993,Hovercraft,194.0,25.5,https://images.brickset.com/sets/images/8824-1.jpg,1642,243,3.7
4463,8810-1,Technic,Not Available,1991,Cafe Racer,80.0,10.0,https://images.brickset.com/sets/images/8810-1.jpg,2946,217,3.7
4492,885-1,Space,Classic,1979,Space Scooter,20.0,1.6,https://images.brickset.com/sets/images/885-1.jpg,2889,671,3.7
4632,4877-1,Bionicle,Rahaga,2005,Rahaga Norik,28.0,4.0,https://images.brickset.com/sets/images/4877-1.jpg,1379,388,3.7
4615,8642-1,Racers,Tiny Turbos,2005,Monster Crusher,43.0,4.0,https://images.brickset.com/sets/images/8642-1.jpg,1310,185,3.7
1473,3344-1,Castle,Ninja,2000,One Minifig Pack - Ninja #1,9.0,0.72,https://images.brickset.com/sets/images/3344-1.jpg,158,467,3.7
