num_reviews,piece_count,play_star_rating,prod_desc,prod_id,review_difficulty,set_name,star_rating,theme_name,val_star_rating,country
2,241,4.5,Blast off from the start line in the 3-in-1 Rocket Rally Car!,31074,Easy,Rocket Rally Car,5,Creator 3-in-1,5,US
1,200,5,Thrill the crowds with the 3-in-1 Daredevil Stunt Plane set!,31076,Average,Daredevil Stunt Plane,5,Creator 3-in-1,5,US
1,225,5,Head into the wilds with the 3-in-1 Outback Adventures set!,31075,Easy,Outback Adventures,4,Creator 3-in-1,4,US
27,174,4.5,Enjoy roaring adventures with the 3-in-1 Mighty Dinosaurs!,31058,Easy,Mighty Dinosaurs,4.7,Creator 3-in-1,4.7,US
5,223,4.7,Create a world of scary 3-in-1 Mythical Creatures!,31073,Easy,Mythical Creatures,4.4,Creator 3-in-1,5,US
6,122,4.5,Take an open-top drive in the cool 3-in-1 Green Cruiser!,31056,Easy,Green Cruiser,4.5,Creator 3-in-1,4.7,US
1,102,4,Perform cool maneuvers with the 3-in-1 Air Blazer!,31057,Easy,Air Blazer,4,Creator 3-in-1,4,US
1,109,5,Be an eye in the sky with the 3-in-1 Drone Explorer!,31071,Average,Drone Explorer,5,Creator 3-in-1,5,US
,109,,Enter the racing world with the 3-in-1 Extreme Engines set!,31072,,Extreme Engines,,Creator 3-in-1,,US
8,222,4.3,Get ready for the ultra-cool 3-in-1 Fast Car!,31046,Average,Fast Car,4.6,Creator 3-in-1,4.5,US
1,194,5,Take the 3-in-1 Sunset Street Bike for high-speed spin!,31059,Average,Sunset Street Bike,5,Creator 3-in-1,5,US
15,528,4.7,Meet the wildlife at the brightly lit Lighthouse Point!,31051,Average,Lighthouse Point,4.7,Creator 3-in-1,4.3,US
2,359,5,Fly to warmer climes for 3-in-1 Island Adventures!,31064,Average,Island Adventures,4.5,Creator 3-in-1,4.5,US
9,286,4.5,Enjoy summer adventures with the 3-in-1 Beach Hut!,31035,Easy,Beach Hut,4.4,Creator 3-in-1,4.1,US
5,275,4,Enjoy the beach life with the 3-in-1 Beachside Vacation!,31063,Average,Beachside Vacation,4.2,Creator 3-in-1,3.4,US
4,326,4.8,Conquer ice and snow with the 3-in-1 Twin Spin Helicopter!,31049,Average,Twin Spin Helicopter,5,Creator 3-in-1,4.8,US
7,230,4.8,Take a flight in the cool 3-in-1 Propeller Plane!,31047,Average,Propeller Plane,4.9,Creator 3-in-1,4.7,US
,246,,Take the 3-in-1 Airshow Aces to town!,31060,,Airshow Aces,,Creator 3-in-1,,US
2,124,4,,31043,Easy,Chopper Transporter,5,Creator 3-in-1,4.5,US
4,132,4,Airlift vital supplies with the awesome 3-in-1 Cargo Heli!,31029,Average,Cargo Heli,4.8,Creator 3-in-1,4.8,US
43,5923,3.9,Discover the architectural wonder of the Taj Mahal!,10256,Challenging,Taj Mahal,4.8,Creator Expert,4.5,US
62,2480,4.4,Discover a place where music is on the menu!,10260,Challenging,Downtown Diner,4.6,Creator Expert,4.3,US
51,902,3.8,Head home for the holidays with the Winter Village Station!,10259,Average,Winter Village Station,3.8,Creator Expert,3.4,US
99,4002,4.7,Celebrate ten years of Modular Building with the Assembly Square!,10255,Challenging,Assembly Square,4.8,Creator Expert,4.5,US
64,4163,3.7,Build the world’s best-known clock tower!,10253,Challenging,Big Ben,4.6,Creator Expert,4.6,US
228,4295,4.2,Build London's famous Tower Bridge!,10214,Challenging,Tower Bridge,4.8,Creator Expert,4.6,US
53,2670,4.2,Discover the fairground’s star attraction with the Carousel!,10257,Challenging,Carousel,4.4,Creator Expert,4.2,US
91,2464,4.9,Experience the wonderful LEGO® Creator Ferris Wheel!,10247,Challenging,Ferris Wheel,4.9,Creator Expert,4.7,US
115,2382,4.5,Make a safe deposit at the Brick Bank!,10251,Challenging,Brick Bank,4.7,Creator Expert,4.2,US
202,2469,4.7,Have an unforgettable evening at the amazing Parisian Restaurant!,10243,Challenging,Parisian Restaurant,4.9,Creator Expert,4.7,US
177,2262,4.4,Discover hidden clues and surprises at the Detective's Office!,10246,Challenging,Detective’s Office,4.6,Creator Expert,4.4,US
53,1686,4.1,All aboard the London Bus!,10258,Average,London Bus,4.6,Creator Expert,4.3,US
337,1334,4.3,Road trips will never be the same again with the iconic 1962 Volkswagen T1 Camper Van,10220,Challenging,Volkswagen T1 Camper Van,4.7,Creator Expert,4.5,US
66,1167,4.5,Head for the beach with the VW Beetle!,10252,Average,Volkswagen Beetle,4.9,Creator Expert,4.7,US
134,1077,4.4,Take this MINI Cooper for a nostalgic drive down memory lane!,10242,Average,MINI Cooper,4.7,Creator Expert,4.5,US
77,734,4.3,Climb aboard the magical Winter Holiday Train!,10254,Average,Winter Holiday Train,4.3,Creator Expert,4.1,US
19,3444,4.9,Dare to enter The Joker™ Manor!,70922,Challenging,The Joker™ Manor,5,THE LEGO® BATMAN MOVIE,4.9,US
13,955,4.1,Unleash the Batmobile from The Flying Fox!,76087,Average,Flying Fox: Batmobile Airlift Attack,3.7,DC Comics™ Super Heroes,3,US
