SetID,Number,Variant,Theme,Subtheme,Year,Name,Pieces,Price,ImageURL,OwnedBy,WantedBy,Rating
4391,8588,1,Bionicle,Rahkshi,2003,Rahkshi Kurahk,45,9,https://images.brickset.com/sets/images/8588-1.jpg,3067,439,4.6
4285,8462,1,Technic,,1998,Tow Truck,774,122,https://images.brickset.com/sets/images/8462-1.jpg,1362,560,4.6
4297,8479,1,Technic,,1997,Barcode Multi-Set,1280,164,https://images.brickset.com/sets/images/8479-1.jpg,1781,752,4.4
3609,6780,1,Space,Classic,1986,XT Starship,201,,https://images.brickset.com/sets/images/6780-1.jpg,1449,641,4.6
3529,6675,1,Town,Vehicles,1988,Road & Trail 4 x 4,81,,https://images.brickset.com/sets/images/6675-1.jpg,2910,520,4.6
3675,6877,1,Space,M-Tron,1990,Vector Detector,62,6.35,https://images.brickset.com/sets/images/6877-1.jpg,4223,709,4.6
3754,6986,1,Space,Space Police,1989,Mission Commander,478,50,https://images.brickset.com/sets/images/6986-1.jpg,1509,1405,4.4
3243,6388,1,Town,Leisure,1989,Holiday Home with Campervan,353,,https://images.brickset.com/sets/images/6388-1.jpg,1552,1129,4.6
3240,6385,1,Town,Fire,1985,Fire House-I,407,43,https://images.brickset.com/sets/images/6385-1.jpg,2124,622,4.6
3246,6390,1,Town,Shops and Services,1980,Main Street,591,40,https://images.brickset.com/sets/images/6390-1.jpg,522,769,4.6
3309,6455,1,Town,Space Port,1999,Space Simulation Station,245,30,https://images.brickset.com/sets/images/6455-1.jpg,1252,593,4.6
3423,6562,1,Town,Shops and Services,1995,Gas Stop Shop,221,24.5,https://images.brickset.com/sets/images/6562-1.jpg,1591,642,4.6
3451,6596,1,Town,Boats,1995,Wave Master,134,12,https://images.brickset.com/sets/images/6596-1.jpg,1911,454,4.6
3458,6602,2,Town,Race,2000,Scorpion Buggy,78,10,https://images.brickset.com/sets/images/6602-2.jpg,713,204,4.6
3472,6615,1,Town,Flight,1996,Eagle Stunt Flyer,76,8.75,https://images.brickset.com/sets/images/6615-1.jpg,3027,480,4.6
2948,5935,1,Adventurers,Dino Island,2000,Island Hopper,205,20,https://images.brickset.com/sets/images/5935-1.jpg,2181,803,4.4
2963,5958,1,Adventurers,Desert,1998,Mummy's Tomb,260,30,https://images.brickset.com/sets/images/5958-1.jpg,1641,1201,4.4
3017,6048,1,Castle,Dragon Knights,1993,Majisto's Magical Workshop,185,26,https://images.brickset.com/sets/images/6048-1.jpg,2895,1266,4.4
3065,6102,1,Castle,Accessories,1985,Castle Mini-Figures,36,5.5,https://images.brickset.com/sets/images/6102-1.jpg,1402,806,4.6
3115,6259,1,Pirates,Imperial Guards,1991,Broadside's Brig,68,8.75,https://images.brickset.com/sets/images/6259-1.jpg,3917,1054,4.4
3124,6266,1,Pirates,Imperial Guards,1993,Cannon Cove,106,17.5,https://images.brickset.com/sets/images/6266-1.jpg,2105,1149,4.6
3215,6363,1,Town,Shops and Services,1980,Auto Repair Shop,141,,https://images.brickset.com/sets/images/6363-1.jpg,2122,497,4.6
3194,6344,1,Town,Police,1993,Jet Speed Justice,157,21,https://images.brickset.com/sets/images/6344-1.jpg,2146,481,4.6
2149,4488,1,Star Wars,Mini Building Set,2003,Millennium Falcon,87,7,https://images.brickset.com/sets/images/4488-1.jpg,4912,1539,4.4
